Name, Latitude, Longitude, Image
"Duftsäule Thymian ",51.828333,9.444255,"http://lh3.googleusercontent.com/eavWfh0cUFDGxYNq9AiS5U9xwwWs1UkPmjsTjnsxoifpOmWs-YnEpewvWZTHcux6Ej-FTPuej1SePcs66ERvbfE-9um3"
"Niedrigklettern an der Weser",51.828205,9.443738,"http://lh3.googleusercontent.com/JYvXW9VS5ZJO9KKvQEocJPOYre4TNFvfv96SZLfI8Kug8Yp2bzBjfaPk8G1flJcqf9nTZbPu8CKaWoJuZxebGvU2vizP"
"Spielplatz Weserpromenade ",51.828641,9.444011,"http://lh3.googleusercontent.com/lX6Zz5-qWCPBSPklF4m-Y1IpKBJCkXYp58auUUQU9GhONA44pFGagLVxIlfgZgXBgDM4IXSwo2xv33V-zQ0qSij-sFM"
"Grete Heinberg Garten",51.829718,9.443814,"http://lh3.googleusercontent.com/nm9Nqs5yy-Ein-7b0gvAil_4_M9oJJULKuCr0wdolV6Gk5fv5MT3tGPMl_ONSdvEpIFGshhf4lFj49OFc4a2MHWRLg"
"Memoriespiel",51.828711,9.44362,"http://lh3.googleusercontent.com/URTGCr0b0hhBycxAJbMv3HNT7p3Mpq34jbQHdvYvlAdmTJC9gD37h44v8DLOKCvLc3V0ybNgmzp_9j_OuDvF1B7ksA"
"Statuette \"Der Photograph\" ",51.828426,9.443798,"http://lh3.googleusercontent.com/w0Kg1II0hPSh5-umWOfx73r55UHQFnCIZpp9Ak3o4jWk9DeqB6HN8SFzlXj1sr44ott2EM9k1v0EjBQNLdGrZLnUeg"
"Robert Wilhelm Bunsen",51.829423,9.443988,"http://lh3.googleusercontent.com/n3Mp8gy4-sG_vCfkr_UwJbIbLgCCLwGyI3ZvTsyegkhXHDEtemgrkQ3XrR8LsovKghG0N4_2IndRNxQvo_a2e3oyRzo"
"Kanu Klub Holzminden",51.828137,9.441833,"http://lh3.googleusercontent.com/KzNQJehsAF6pUmplpLxOt8k0gOAC382LfArdaFz79JFyxtBhv1Lin6fvDvDdqspvybNYW68I4r9Y8Y07k7hzM7mO_A"
"Skateboardbahn",51.829274,9.439787,"http://lh3.googleusercontent.com/-e4jFrF5x5GcC9RfFyoLWnBoGEDku4B3yvmPi3jy3_3-7C1l1bXmGzDa5pXSThTPQpKW4an8jrwzRUn8U4piiWznRJRP"
"Willkommen in Holzminden",51.828208,9.440345,"http://lh3.googleusercontent.com/P8VonRWVKjOWOX2y0rMuSfpgVwnqsj52LrDWdGhVqf74ilVcvydWHd_xJgmcryMjIvpbGBNUsr3ty6CbNOiU86y2giE"
